Lake ,Pload,TP,Chla
rend,0.97,0.071,23.5
shelbyville res.,4.12,0.062,17.2
highland silver,3.04,0.226,5.8
springfield,1.7,0.108,13
vermilion,10.2,0.109,31.1
wonder,12.39,0.426,98.5
storey,2.18,0.072,17.2
holiday,4.03,0.167,51.2
fox,24.41,0.219,63.8
slocum,11.18,0.865,221.1
wee-ma-tuk,0.61,0.069,8
racoon,1.17,0.106,19.2
baldwin,0.58,0.044,11.3
vandalia,0.96,0.116,11.3
horseshoe,0.51,0.127,182.2
cataract,5.65,0.058,10.7
geist res.,2.88,0.074,46
mississinewa res.,12.74,0.107,15.8
monroe res.,0.28,0.025,6.9
morse res.,6.52,0.084,56.1
wawasee ,0.11,0.012,5
webster lake,1.04,0.025,11.5
whitewater,3.28,0.084,33.1
winona,0.8,0.035,11.2
westler,4.39,0.035,10.7
witmer,2.73,0.035,11.9
maxinkuckee,0.15,0.02,5.5
tippecanoe,1.1,0.019,6
dallas,1.53,0.029,10.1
olin,0.81,0.012,4.9
oliver,0.16,0.009,3.8
bass,0.09,0.04,29.4
crooked,0.24,0.019,5.6
james,0.34,0.016,4.9
long,29.54,0.204,16.1
pigeon,8.32,0.058,11.9
marsh,6.09,0.093,34.5
hamilton,0.32,0.033,17.4
lake ahquabi,1.02,0.062,8.6
big creek res.,2.27,0.046,16.9
black hawk,0.55,0.185,49.7
lake macbride,0.67,0.061,17.1
prairie rose,0.72,0.056,17.4
rathburn res.,2.45,0.071,12
red rock res.,68.96,0.18,14.7
rock creek,3.13,0.065,18.4
silver lake,0.24,0.193,95.3
viking lake,0.49,0.075,26
cedar bluff res.,0.17,0.017,4.2
council grove res.,2.07,0.069,9.8
elk city res.,2.23,0.03,3.2
john redmond res.,9.2,0.118,9.5
kanopolis res.,6.65,0.056,16
marion res.,0.41,0.052,12.4
melvern res.,0.79,0.034,30.4
milford res.,6.54,0.079,18.9
norton res.,1.26,0.122,21.4
perry res.,2.07,0.055,5.6
pomona res.,0.98,0.04,8.3
tuttle creek res.,22.28,0.162,11.3
wilson res.,0.47,0.023,8.9
cumberland,1.96,0.016,3.8
herrington,9.24,0.079,14.9
bistineau,1.67,0.061,12.9
black bayour res.,1.07,0.046,17.8
bundick,7.5,0.157,20.5
cross,0.34,0.057,38.4
bayou d'arbonne,1.33,0.038,6.8
turkey creek,3.77,0.176,22
vernon,0.24,0.018,4.9
cocodrie,0.6,0.106,33.4
estes,9.65,0.094,28.3
long,0.14,0.008,3.2
mattawamkeag,0.6,0.011,2
moosehead,0.08,0.005,1.5
rangeley,0.09,0.007,2.4
sebago,0.08,0.004,1.5
sebasticook,0.68,0.05,49.5
long,0.12,0.01,6.9
bay of naples,0.51,0.005,1.8
deep creek,0.18,0.011,6.1
liberty res.,0.37,0.018,6.3
loch raven res.,1.45,0.023,7.1
johnson pond,20.81,0.098,26.2
hager pond,129.48,1.525,198.5
harris pond,10.84,0.052,12.9
woods pond,266.98,0.363,11.4
matfield impoundment,817.84,0.535,2.3
hudson impoundment,248.52,0.476,2.2
allegan,31.4,0.135,20.3
barton,2.14,0.061,27.8
belleville,15.75,0.122,28.3
charlevoix,0.12,0.006,3
chemung,0.22,0.032,13.5
ford,16.17,0.111,14.7
fremont,2.97,0.378,28.5
kent,1.59,0.043,33.9
macatawa,6.35,0.159,25.6
muskegon,6.86,0.065,9.5
ross reservoir,17.02,0.035,10.4
thornapple lake,9.24,0.045,14.7
union lake,9.27,0.047,15.7
white lake,1.98,0.026,9.2
mona,5.53,0.369,27.8
long,4.62,0.133,10.1
crystal,0.07,0.009,2.9
higgins,0.03,0.006,1
houghton,0.06,0.016,9.2
strawberry,9.19,0.068,11.1
winona,1.65,0.107,58.6
wolf,6.43,0.05,17.2
zumbro,130,0.401,12.5
spring,107.17,0.24,21.8
st. croix,8.89,0.055,10.2
wagonga,4,1,94.5
green,0.09,0.015,4.9
nest,0.79,0.04,21.4
darling,0.19,0.017,11.8
andrusia,4.02,0.025,13
bemidji,0.44,0.036,9.5
mud,4.96,0.408,87.4
albert lea,6.31,0.958,381.2
bartlett,0.37,0.136,49.5
big stone,0.31,0.159,16.5
blackduck,0.14,0.038,14.5
blackhoof,1.22,0.043,12.8
buffalo,1.4,0.209,38
cass,0.35,0.02,8.7
clearwater,0.67,0.028,14.1
cokato,2.6,0.231,10.7
elbow,7.87,1.38,9.6
gull lake,0.1,0.022,12.5
heron,1.04,0.302,111.1
leech,0.04,0.015,6.2
madison,0.36,0.05,30.8
mashkenode,5.38,0.075,25.3
